960,332,9956,-11456,-1912,-4031
-11340,7924,-24584,-280,-14229,-2441
-13396,32767,5768,-32768,15660,-1629
-4684,32767,-7484,10212,12063,59
-21464,32767,19304,-19801,614,-3559
-5336,32767,17256,2445,-5694,-5614
-5944,7736,1676,-19748,11691,-2419
-480,4180,-4152,-6048,-2512,5285
-4584,8164,-1512,-19909,8101,-982
7700,14576,18192,-6761,388,-314
6220,4036,-2688,-10012,-7818,-2142
5244,13100,17880,-6248,2313,806
4748,6096,6100,-10342,-8408,-3708
4104,5348,11772,-2100,-3679,-2234
5784,3940,-5032,-15691,-3075,-632
-456,5932,-9572,-5209,-622,6358
-4648,6460,4380,-17136,10430,-2966
-7036,18260,-5732,2607,1779,-2211
-4072,26068,3396,-20085,5305,-1391
,,,,,
 ,,,,,
