5640,-15560,-9056,16162,1681,-4854,617760
15228,-15304,-4484,-8712,-3144,-2822,619304
908,-10948,-3136,-1179,21607,1677,619708
23396,-7320,13200,-12837,-24070,4660,620113
4764,13020,-21780,-11273,2803,-19330,620520
2480,-1220,-18508,-1977,-8074,-5586,620932
396,-1760,-17168,-827,-1376,929,621355
16,-1296,-17632,-419,841,-422,621762
740,-1248,-17440,-455,-735,-55,622157
588,-1416,-17392,-760,28,-57,622519
600,-1356,-17472,-646,-187,-10,622976
712,-1348,-17384,-605,-358,49,623383
916,-1304,-17356,-573,-464,-72,623790
836,-1324,-17396,-652,-373,7,624226
1616,-1228,-17608,-730,1461,-224,624712
2340,-1060,-17520,-562,-23,-249,625078
2776,-1400,-17400,-752,-571,235,625532
2600,-1088,-17332,-659,-631,137,625940
2480,-1016,-17592,-786,-149,82,626349
2192,-1268,-17372,-638,-630,27,626757
1992,-1216,-17408,-766,-672,163,627168
2080,-1200,-17484,-580,-787,-27,627575
1996,-1188,-17340,-659,-298,-23,627984
 ,,,,,,
