-1476,17356,11756,-1955,5167,2219
-4008,13548,-632,5697,-6599,345
-1864,17980,1696,-16378,-395,-1087
-3784,10212,8868,11112,-4774,1360
-1656,19372,916,4779,-1647,5760
1160,14856,656,-17665,12293,1505
-3988,19172,5564,5859,2890,1651
20,16988,-224,6275,-3250,71
-796,13072,596,-16435,12640,858
-5144,16740,6856,2298,4754,1264
-3196,14264,920,3067,-3165,348
-4264,15680,-2852,-13783,-3290,955
-3412,7672,5060,5911,628,-1333
-4284,7120,452,6839,-5340,-749
-1860,13656,1992,5685,-5534,1656
10196,24308,-4788,-20962,21603,21149
8212,1560,28756,17982,-4872,32767
21408,-12240,-1716,-4826,-7864,15429
20888,-1800,24852,11802,4892,-19226
16392,544,396,2978,-1509,2811
16456,4016,-1176,-579,-2137,-48
16536,3952,-1484,-568,-801,6
16488,3788,-1252,-697,-220,-12
16428,3892,-708,-487,-574,65
16440,3988,-812,-666,-81,148
16560,3872,-936,-548,-771,62
16588,3792,-1128,-701,-178,25
16576,3948,-904,-647,-391,14
16608,3840,-1220,-608,-585,68
,,,,,
 ,,,,,
