-4668,2408,-1912,10204,-2897,2604
960,19296,4588,-129,-2000,-715
-6216,4224,1916,-1759,6387,2806
780,13300,4152,6649,-2050,8135
-1136,22916,4432,-9494,314,-1153
-5204,5900,6312,14910,-2497,-1568
-4040,12320,1396,7496,-9465,1681
-1216,21168,-4368,-20939,2402,1795
-1516,22916,14620,7772,7880,-2841
-1152,14388,-488,5157,-5011,1329
2780,16900,5280,-23404,1822,-96
-1856,29492,25576,-7662,12583,-1535
-5160,14036,3624,6798,2979,104
-172,28772,196,-24797,-9865,5308
-3852,4028,23616,21227,-32768,25906
32116,4696,704,-10077,-11,16499
8944,-6656,-3140,-1136,-288,3085
12564,4076,24780,-2974,-5178,-3863
20088,4244,-1752,2041,-5122,2118
17352,2100,1664,-1043,-442,708
16516,1460,1568,-663,-1646,-190
16652,1744,1244,-637,-142,19
16872,1700,1096,-635,-233,119
16964,1708,1168,-644,-420,-20
16696,1720,1328,-612,-166,92
16740,1700,1276,-563,-647,-43
16884,1640,1188,-566,-625,-5
16876,1480,1080,-611,-67,41
16860,1516,1260,-629,-561,6
16788,1396,1592,-669,-173,40
16876,1400,1456,-621,-317,24
16980,1296,1348,-642,-426,-34
16772,1388,1660,-610,-460,-48
,,,,,
 ,,,,,
