9856,-13888,-2292,-904,-136,-170,346424
9764,-13860,-2212,-602,-403,-35,346834
9696,-14000,-2020,-644,-184,18,347247
10020,-13732,-2276,-575,-418,-42,347656
9844,-13880,-2096,-733,-397,24,348060
9672,-13664,-2480,-535,-538,97,348475
10004,-13744,-1988,-547,-557,30,348875
9832,-13976,-2088,-569,-368,35,349242
9900,-13752,-2468,-693,-304,-5,349696
9888,-13820,-2136,-812,-144,-123,350104
9824,-13808,-2144,-732,-289,-97,350514
9976,-13736,-2204,-593,-549,-19,350930
9800,-13844,-2260,-637,-379,-51,351332
9844,-13784,-2364,-779,-197,-76,351751
10144,-13896,-1304,-1284,-322,-307,352149
10440,-13508,-2556,-782,-810,212,352564
10416,-13632,-2100,-920,-53,716,352967
8920,-15040,-1584,-1904,-1032,-154,353376
9200,-20092,-1880,5932,4424,-770,353792
9976,-9788,3164,-4475,-4214,-466,354196
7552,-12664,2012,-1211,1230,746,354605
7108,-12408,-2116,3930,7486,-10610,355010
1992,-18104,-15904,-12075,17467,26704,355422
-4432,2652,-14868,2830,7552,-2128,355852
8680,356,-16472,256,6366,-2773,356255
6188,-1808,-17052,-467,-1037,-357,356647
5684,-940,-16556,-784,620,116,357068
5404,-1144,-16788,-954,-716,53,357465
5720,-948,-16508,-713,-819,27,357874
5632,-684,-16896,-794,399,299,358284
5664,-664,-16752,-757,-409,70,358692
5564,-696,-16752,-783,-323,131,359101
5756,-568,-16908,-761,113,159,359520
5632,-508,-16932,-1024,-31,339,359919
5824,-412,-16532,-704,-615,28,360329
5768,-416,-16700,-602,-297,-45,360737
5856,-336,-16672,-724,-395,-39,361146
5752,-412,-16680,-566,-592,-74,361555
5808,-460,-16748,-493,-527,-179,361970
