1628,9176,-6488,14516,-4029,-2148
644,19248,5316,-503,-1257,-404
-912,8988,-2724,-12727,10858,3173
-2832,12836,256,7868,12795,9945
-2492,23952,6036,-12842,1404,1346
-3212,9220,5920,15672,3411,-3644
-5464,13968,3480,8026,-3200,7729
-2696,21004,4576,-9929,3176,-828
-4676,6876,-68,1861,2753,2783
4040,17236,2236,7830,4774,10573
-1176,18508,3612,-404,-4510,1087
-2624,10328,-4,-9420,6074,2900
-5236,26500,6552,6211,-4478,-3847
-1740,15524,72,8493,-1140,-1308
-5188,11660,-2712,972,-5884,-16
-532,16140,428,3368,-2491,27
-1000,18056,-2472,-2111,-2189,-209
-3092,13140,3676,-3694,-902,-1243
-6192,16032,1352,678,3410,718
