5092,-15816,-3796,-566,-682,38,463793
4744,-15988,-3028,-737,-7,-70,464218
5340,-15760,-3160,-1219,929,-103,464625
5172,-15812,-3344,-785,-300,-16,465019
5736,-16460,-3196,184,-1462,-20,465426
5480,-15796,-3244,-821,-99,-180,465845
4260,-15832,-3340,-748,-659,-69,466246
5388,-15864,-3736,-691,-63,290,466656
6172,-16272,-3104,-1417,2364,-870,467064
5360,-15172,-4248,-763,33,-560,467473
6424,-17356,-3720,-1328,-128,535,467837
5264,-15676,-4536,-370,-335,-58,468289
5352,-15576,-4188,-27,-1489,-101,468702
6408,-16104,-3344,-735,127,97,469124
5688,-15744,-3560,-866,643,215,469518
5876,-15872,-3748,-664,-195,86,469942
5648,-16004,-3592,-695,-215,73,470336
5376,-15108,-3496,-1181,-75,244,470754
6660,-15860,-2292,-149,-2660,-235,471153
8060,-15268,924,3934,2228,-1970,471519
6908,-15668,2536,3664,-2523,669,471977
5916,-15560,2688,-149,-5474,-763,472396
-13444,-18212,2444,8125,-9540,23338,472788
-32768,15424,9584,-15472,32767,-16516,473206
-13968,-4760,-8100,-6892,8064,-1218,473627
-15104,-3904,1312,1191,-12468,487,474022
-15288,-2744,-736,-720,1112,-34,474426
-15300,-2588,-2936,-808,1583,47,474834
-15204,-2600,-2808,-637,-840,25,475245
-15384,-2532,-2396,-648,-1186,22,475659
-15288,-2756,-2556,-658,187,13,476062
-15408,-2492,-2324,-599,-454,-53,476470
-15316,-2764,-2044,-620,-741,109,476884
-15360,-2504,-1476,-730,-598,164,477288
-15412,-2516,-1432,-689,-124,15,477697
-15616,-2480,-1680,-499,-1795,-40,478105
-15484,-2592,-612,-557,192,-329,478516
-15436,-3004,288,-826,902,482,478924
-15396,-2716,8,-649,-398,31,479349
-15356,-2716,-72,-690,-564,196,479741
-15488,-2600,16,-650,-311,-26,480150
-15428,-2584,-188,-696,-236,-4,480514
-15476,-2564,-88,-624,-660,-16,480973
