8552,-6668,1780,-18296,311,7473,671333
4180,-18668,1544,-13703,5666,2080,671855
2244,-7432,-7104,18355,-15931,-6557,672252
4740,-20948,-7276,-14323,22077,-65,672669
3544,-23420,-4256,20536,3070,-5831,673073
14592,-32768,24676,11313,-20692,-7049,673479
4488,-11832,-4640,-9828,-2951,-1319,673888
-4440,-8112,-7276,19324,-15069,-7090,674296
1996,-19536,-9588,-11156,15159,802,674705
8752,-17332,-4340,15797,5101,-1660,675116
1328,-31572,-3984,-11834,1077,-129,675525
-7264,-18660,-12104,-20710,-32768,32767,675933
-14300,-644,-12844,721,-32768,-58,676341
-8076,-4788,10096,1559,-3588,6565,676763
-12656,-3304,9404,-1862,-4628,-3081,677160
-11652,-3512,9384,-454,-1273,181,677575
-11932,-3936,8920,-658,-582,-93,677978
-12212,-3896,8776,-601,-436,108,678387
-12308,-3884,8688,-665,-270,6,678797
-12292,-3976,8708,-681,-360,-59,679213
-12368,-3908,8716,-630,-495,-33,679624
-12340,-3932,8724,-687,-97,86,680023
-12336,-4100,8732,-632,-481,-118,680384
-12528,-4216,8276,-671,-208,-50,681351
-12588,-4160,8232,-645,-442,-18,681760
-12604,-4128,8376,-669,-537,-68,682171
-12488,-4224,8268,-657,-544,-19,682584
