-6056,7664,-228,7183,-4843,-66
-1364,15468,-256,7781,-5193,-1537
-1436,18516,620,-18553,6673,950
-9908,20408,2188,4456,-230,-313
-924,14192,32,6410,-4383,439
2240,21236,-1032,-14286,3604,2114
-8668,18528,5008,3106,2015,1420
-644,17940,1816,6876,-5018,-1346
4492,16824,-1288,-14863,10912,5870
-3916,20604,5344,2033,5575,953
2076,14644,1120,7987,-5516,-1851
3268,14572,1500,-19007,8595,4225
-6724,5360,-5932,5562,336,4405
-372,15156,180,10166,-4164,-1033
4260,16888,-2392,-18961,8614,2396
-7828,13324,7056,-1682,10381,1398
-1012,14376,1092,6703,-5234,-996
1176,17288,-4288,-10145,1814,2162
-9896,2396,4564,-203,3534,1355
-23700,24852,-912,-13855,-5182,12702
22072,13440,-11752,5649,3377,19646
15996,-5440,572,3204,6767,-11102
17472,5480,-8660,5073,-24369,-3377
16668,3448,-3804,-1000,4972,-159
16696,3168,-2408,-577,-365,71
16508,3220,-2788,-641,-217,158
16620,3232,-2508,-642,-409,23
16616,3188,-2856,-598,-757,-28
16636,3212,-2984,-641,-385,-26
16472,3272,-3028,-596,-549,37
16532,3160,-3220,-654,-206,-4
16500,3192,-2984,-666,-268,-22
16532,3212,-2844,-662,-459,-38
