-4324,8076,5920,3122,-1264,1164
2576,13832,-2924,7057,-5116,1890
516,18460,1792,2319,-4387,-696
-5944,9624,3664,-14818,11809,1895
-4424,10008,-768,3635,1766,1940
-1232,18844,4272,4903,-1025,-944
1436,15792,-1220,-19139,13198,3076
-6268,16780,6348,182,3622,1400
-1380,15612,1628,4903,-3782,-630
-11112,18724,108,-18227,3683,-1620
-484,22040,11856,5194,45,-1425
-2024,13344,2020,5384,-1332,2338
-1964,16624,2428,1543,-7101,-2195
-7656,7940,4612,-6317,6690,2883
-2796,22332,4748,2850,618,834
-88,15464,1224,5271,-3924,-44
-4876,11120,3512,-10679,-815,1054
-6104,32767,4656,3433,15057,29176
-3828,-6032,6228,7353,-457,5494
9928,-2376,1688,7523,256,-7601
15052,4096,2032,781,4285,1749
16756,3948,-512,-1139,-1626,-391
16636,3832,-1128,-730,-61,-10
16624,3676,-628,-618,-556,-14
16556,3656,-772,-722,-118,46
16616,3572,-848,-591,-646,47
16640,3576,-960,-603,-555,14
16556,3648,-720,-626,-529,-36
16588,3672,-632,-639,-309,-63
16676,3704,-516,-641,-509,-23
16644,3636,-576,-622,-312,34
,,,,,
 ,,,,,
