-4308,14220,2988,2697,945,-1197
-7184,17096,1896,-15311,-11226,4468
-6784,11992,-2468,-122,-4196,-14191
-732,21128,4252,-3462,13553,-840
-4060,5848,724,-9835,15113,8327
-8960,16364,-448,4570,-7467,-13479
-3944,20444,6768,-6898,12195,3528
-3376,21500,4152,-3881,-227,2033
-5200,4912,5416,7701,791,-1742
-6996,30472,-3836,3210,6517,-4817
-2464,23584,4508,-13399,5462,5690
-3780,9264,9116,9795,-665,-7039
-3692,13264,2624,14373,-8330,1062
-13976,15840,9184,-18977,6169,7127
3996,7208,21488,-31345,10053,8893
2800,32767,32767,16680,2052,-2608
5344,22628,-12688,19319,21206,9417
13720,-68,3688,-3107,1918,1409
15252,2348,-7888,-2508,2683,46
16672,2172,-5364,-776,-1366,-208
16424,2256,-4944,-642,-391,-254
16488,2456,-4980,-618,-496,-96
16272,2448,-5156,-620,-302,8
16264,2468,-5116,-652,-449,-110
16296,2460,-5392,-684,-283,14
16276,2556,-5436,-652,-165,72
16232,2524,-5460,-682,-407,-69
16260,2508,-5440,-608,-376,-4
 ,,,,,
