4956,18192,552,3669,-1619,-2087
2544,16044,1360,-9507,11504,4822
-4916,22440,2528,3498,-1184,-1384
3012,14896,612,3920,-4303,-389
-3168,18156,-580,-13716,3637,1965
1392,14280,6984,1589,2266,229
-4628,9180,-2004,2740,-5173,-325
2120,14452,1116,2824,-5262,-1462
2440,17740,-3096,-10828,-5619,282
1776,14380,5012,2670,1979,-910
1208,16300,1588,4108,-1279,2349
2756,14916,-644,1999,-3532,-1275
-6416,15216,440,-16300,-1494,-1059
628,13120,6252,3120,1249,92
10996,19480,-6944,9873,-6632,-5209
828,16336,-424,3584,-884,-2389
6972,17012,-3076,-8972,3235,1078
5144,16468,8920,998,3070,2823
604,17952,1296,5214,-1053,4197
1188,18264,2924,1808,-1437,-317
4232,15728,540,-11399,9071,3967
-1056,16544,4012,4065,10068,-410
2060,16376,984,2041,-3691,-1227
6008,23524,-4640,-3191,2177,1139
5200,6412,-4404,-5249,15145,10702
20520,-7244,15320,14152,-32768,32767
14804,-13896,2744,-2309,-6729,13494
13452,-8396,348,703,-390,-4212
14112,-3244,-156,14071,4164,-6113
7456,-100,2992,-1598,-7787,137
13628,-1008,6964,-603,452,-26
16380,-1480,4540,-518,-1923,-81
15792,-1292,5032,-658,-39,121
16176,-1320,4824,-629,-705,-57
16060,-1320,5000,-613,-420,-64
16172,-1196,4908,-624,-317,-15
15964,-1264,4884,-629,-592,-40
15860,-1328,5084,-625,-296,0
15820,-1308,5408,-583,-770,-35
,,,,,
 ,,,,,
