-1364,16088,-724,-587,-464,51
-1448,16116,-672,-580,-429,-53
-1500,16268,-772,-563,-461,10
-1364,16268,-756,-632,-273,-7
-1420,16272,-904,-636,-360,-34
-1660,16216,-752,-671,-430,-4
-1504,16108,-728,-645,-450,-37
-1476,16128,-784,-631,-730,-217
-1600,16196,-732,-673,-973,-505
-1668,16320,-396,-2412,-1927,-1072
-3052,15528,1340,-1737,-2145,-1153
-2600,14860,8732,-8813,3007,-1785
-15124,-596,2600,-727,-163,200
-15332,-792,2848,-1039,-1009,22
-15068,-508,3192,-475,-994,-273
-15228,-716,3424,-750,-522,74
-15108,-664,3332,-648,-312,1
-15400,-104,2936,-368,-1025,-304
-15868,-100,2560,79,403,524
-15584,-88,2228,-1248,236,-151
-15308,-124,2708,-596,-261,-62
-15308,-292,2680,-726,-102,80
-15468,-400,2436,-846,-393,-28
-15428,-216,2332,-709,-421,5
-15720,68,3516,-1274,-13,552

 
