-3784,-16180,-676,-502,-1541,-210
-3840,-15824,-628,-772,1216,-42
-3284,-16040,-656,-160,1570,-52
-3152,-16216,-328,-464,537,-296
-3312,-16084,-236,-251,64,-130
-2980,-16172,-184,-452,204,-27
-3000,-16388,-304,-730,-985,-90
-2984,-16780,1260,-300,2119,-180
-3224,-15856,1616,2436,443,29
-3100,-11524,6760,16902,589,3090
-472,-4408,14340,27446,-8254,-15575
-3948,5736,380,27986,-15981,-4280
-1612,9372,-15428,-4116,-7702,-3125
-632,13532,3208,-14387,-2407,-2013
5972,3268,18344,-7298,98,-5283
-2120,8660,11340,71,2338,-246
-2408,8000,13556,-788,-956,-205
-1316,8008,13804,-557,-617,576
-1120,8076,13800,-745,-683,70
-1340,8176,13820,-610,-303,-116
-1392,8084,13728,-660,-312,-42
-1648,8112,13532,-552,-118,69
-1400,8192,13712,-677,-653,53
-1388,8172,13644,-657,-412,-11
-1452,8124,13716,-629,-279,46
-1420,8220,13728,-663,-460,57
-1248,8188,13724,-608,-299,-36
-1428,8192,13660,-598,-175,7
-1500,7708,13584,-598,-347,-411
-1064,8084,13916,-627,-371,-298
-1320,8040,13768,-568,-344,38
-1416,8068,13724,-620,-193,-36



 
