-1628,16116,-324,-623,1343,86
-2120,16000,-448,-615,-295,42
-1924,16064,-308,-688,-345,-34
-2108,16040,-504,-646,-297,-6
-2012,16052,-556,-601,-549,13
-2064,15976,-408,-699,-512,21
-1988,16104,-224,-701,-113,-7
-2032,16140,-432,-688,-708,-4
-1856,16204,-712,-542,-1405,-214
-2116,16120,-136,-869,-1138,-417
-2568,16032,136,-1227,-1210,-565
-3652,15824,664,-1557,-2007,-1532
-3648,15564,520,-1429,-4867,-3509
-1564,6204,13484,-32768,14755,1498
6668,12548,-10104,32767,872,-3218
-692,-3216,6520,-11779,19214,-13030
-11908,-5048,10236,6637,-1543,8765
-14552,148,8572,1854,955,-48
-12472,984,7996,-983,-1881,-485
-12604,32,8888,-375,-511,-48
-12808,264,8828,-490,-331,69
-12812,104,9008,-576,-347,53
-12692,216,8872,-426,-527,30
-12936,464,8628,-662,-154,81
-12884,580,8884,-644,-350,10
-12804,412,8872,-832,-472,8
-12712,156,8416,-1452,306,-19
-13724,-4,7912,-1053,800,397
-13596,392,7500,-572,-785,3
-13368,308,7944,-690,-753,-181
-13184,212,8228,-482,-271,11

 
